IATA_code,ICAO_code,AIRPORT_NAME
LKA,WATL[4],Gewayantana Airport
LKB,NFNK,Lakeba Airport
LKC,,Lekana Airport
LKD,YLND,Lakeland Downs Airport
LKE,,Kenmore Air Harbor Seaplane Base (Seattle Lake Union SPB) (FAA: W55)
LKG,HKLK,Lokichogio Airport
LKH,WBGL,Long Akah Airport[2]
LKK,PAKL,Kulik Lake Airport
LKL,ENNA,"Lakselv Airport, Banak"
LKN,ENLK,Leknes Airport
LKO,VILK,Chaudhary Charan Singh International Airport
LKP,KLKP,Lake Placid Airport
LKR,,Las Khorey Airport
LKU,,Lake Turkana Airport
LKV,KLKV,Lake County Airport
LKW,OOLK,Lekhwair Airport[2]
LKY,HTLM,Lake Manyara Airport
LKZ,EGUL,RAF Lakenheath
LLA,ESPA,Luleå Airport (Kallax Airport)
LLB,ZULB,Libo Airport (Qiannan Airport)
LLC,RPLH,Cagayan North International Airport (Lal-lo Airport)
LLE,FAMN,Malelane Airport
LLF,ZGLG,Yongzhou Lingling Airport
LLG,YCGO,Chillagoe Airport
LLH,,Las Limas Airport
LLI,HALL,Lalibela Airport
LLK,UBBL,Lankaran International Airport
LLL,,Lissadell Airport
LLN,WAJV,Kelila Airport
LLO,,Palopo Lagaligo Airport
LLP,,Linda Downs Airport
LLS,SATK,Alférez Armando Rodríguez Airport
LLT,FNLB,Lobito Airport[2]
LLV,ZBLL,Lüliang Airport
LLW,FWKI,Lilongwe International Airport (Kamuzu Int'l)
LLX,KCDA,Caledonia County Airport (FAA: CDA)
LLY,KVAY,South Jersey Regional Airport (FAA: VAY)
LMA,PAMH,Lake Minchumina Airport (FAA: MHM)
LMB,FWSM,Salima Airport
LMC,SKNA,La Macarena Airport
LMD,,Los Menucos Airport
LME,LFRM,Le Mans Arnage Airport
LMG,,Lamassa Airport
LMH,,Limón Airport
LMI,,Lumi Airport
LML,,Lae Airport
LMM,MMLM,Fort Valley Federal International Airport
LMN,WBGJ,Limbang Airport
LMO,EGQS,RAF Lossiemouth
LMP,LICD,Lampedusa Airport
LMQ,HLMB,Marsa Brega Airport
LMR,FALC,Finsch Mine Airport
LMS,KLMS,Louisville Winston County Airport
LMT,KLMT,Klamath Falls Airport
LMX,,Lopéz de Micay Airport
LMY,,Lake Murray Airport
LMZ,,Palma Airport
LNA,KLNA,Palm Beach County Park Airport
LNB,NVSM,Lamen Bay Airport
LNC,,Lengbati Airport
LND,KLND,Hunt Field
LNE,NVSO,Lonorore Airport
LNF,,Munbil Airport
LNG,,Lese Airport
LNH,YLKN,Lake Nash Airport
LNI,PALN,Point Lonely Short Range Radar Site (FAA: AK71)
LNJ,ZPLC,Lincang Airport
LNK,KLNK,Lincoln Airport
LNL,ZLLN,Longnan Chengzhou Airport
LNM,,Langimar Airport
LNN,KLNN,Lost Nation Airport
LNO,YLEO,Leonora Airport
LNP,KLNP,Lonesome Pine Airport
LNQ,,Loani Airport
LNR,KLNR,Tri-County Regional Airport
LNS,KLNS,Lancaster Airport
LNV,AYKY,Lihir Island Airport
LNX,UUBS,Smolensk South Airport
LNY,PHNY,Lanai Airport
LNZ,LOWL,Linz Airport (Blue Danube Airport)
LOA,YLOR,Lorraine Airport
LOB,SCAN,San Rafael Airport
LOC,YLOK,Lock Airport
LOD,NVSG,Longana Airport
LOE,VTUL,Loei Airport
LOF,,Loen Airport
LOH,SETM,Ciudad de Catamayo Airport
LOI,SSLN[5],Helmuth Baungartem Airport
LOK,HKLO,Lodwar Airport
LOL,KLOL,Derby Field
LOM,,Francisco Primo de Verdad National Airport
LON[2],,metropolitan area3
LOO,DAUL,L'Mekrareg Airport (Laghouat Airport)
LOP,WADL,Lombok International Airport
LOQ,FBLO,Lobatse Airport
LOS,DNMM,Murtala Muhammed International Airport
LOT,KLOT,Lewis University Airport
LOU,KLOU,Bowman Field
LOV,MMMV,Venustiano Carranza International Airport
LOW,KLKU,Louisa County Airport (Freeman Field) (FAA: LKU)
LOX,,Los Tablones Airport
LOY,HKLY,Loiyangalani Airport
LOZ,KLOZ,London-Corbin Airport (Magee Field)
LPA,GCLP,Gran Canaria Airport
LPB,SLLP,El Alto International Airport
LPC,KLPC,Lompoc Airport
LPD,SKLP,La Pedrera Airport
LPE,SKIM,La Primavera Airport
LPF,ZUPS,Liupanshui Yuezhao Airport[2]
LPG,SADL,La Plata Airport
LPI,ESSL,Linköping/Saab Airport
LPJ,SVAS,Armando Schwarck Airport
LPK,UUOL,Lipetsk Airport
LPL,EGGP,Liverpool John Lennon Airport
LPM,NVSL,Malekoula Airport (Lamap Airport)
LPN,,Leron Plains Airport[2]
LPO,KPPO,La Porte Municipal Airport (FAA: PPO)
LPP,EFLP,Lappeenranta Airport
LPQ,VLLB,Luang Prabang International Airport
LPS,,Fishermans Bay/LPS Seaplane Base
LPT,VTCL,Lampang Airport
LPU,WRLP,Long Apung Airport
LPX,EVLA,Liepāja International Airport
LPY,LFHP,Le Puy – Loudes Airport
LQK,KLQK,Pickens County Airport
LQM,SKLG,Caucayá Airport
LQN,OAQN,Qala i Naw Airport
LRA,LGLR,Larissa National Airport
LRB,FXLR,Leribe Airport
LRD,KLRD,Laredo International Airport
LRE,YLRE,Longreach Airport
LRF,KLRF,Little Rock Air Force Base
LRG,OPLL,Loralai Airport
LRH,LFBH,La Rochelle – Île de Ré Airport
LRI,,Lorica Airport
LRJ,KLRJ,Le Mars Municipal Airport
LRL,DXNG,Niamtougou International Airport
LRM,MDLR,La Romana International Airport (Casa de Campo International Airport)
LRQ,,Laurie River Airport
LRR,OISL,Larestan International Airport
LRS,LGLE,Leros Municipal Airport
LRT,LFRH,Lorient South Brittany Airport (Lann-Bihoué Airport)
LRU,KLRU,Las Cruces International Airport
LRV,SVRS,Los Roques Airport
LSA,AYKA,Losuia Airport
LSB,KLSB,Lordsburg Municipal Airport
LSC,SCSE,La Florida Airport
LSE,KLSE,La Crosse Regional Airport
LSF,KLSF,Lawson Army Airfield
LSH,VYLS,Lashio Airport
LSI,EGPB,Sumburgh Airport
LSJ,,Long Island Airport
LSK,KLSK,Lusk Municipal Airport
LSL,MRLC,Los Chiles Airport
LSM,WBGD,Long Semado Airport
LSN,KLSN,Los Banos Municipal Airport
LSO,LFOO,Les Sables-d'Olonne – Talmont Airport
LSP,SVJC,Josefa Camejo International Airport
LSQ,SCGE,Maria Dolores Airport
LSS,TFFS,Les Saintes Airport
LST,YMLT,Launceston Airport
LSU,WBGU,Long Sukang Airport
LSV,KLSV,Nellis Air Force Base
LSW,WITM,Malikus Saleh Airport
LSX,WITL,Lhok Sukon Airport
LSY,YLIS,Lismore Airport
LSZ,LDLO,Lošinj Airport
LTA,FATZ,Tzaneen Airport (Letaba Airport)
LTB,,Latrobe Airport
LTC,FTTH,Laï Airport
LTD,HLTD,Ghadames Airport
LTF,,Leitre Airport
LTG,VNLT,Langtang Airport
LTI,ZMAT,Altai Airport
LTK,OSLK,Bassel Al-Assad International Airport
LTL,FOOR,Lastourville Airport
LTM,SYLT,Lethem Airport
LTN,EGGW,Luton Airport
LTO,MMLT,Loreto International Airport
LTP,YLHS,Lyndhurst Airport
LTQ,LFAT,Le Touquet – Côte d'Opale Airport
LTR,EILT,Letterkenny Airfield
LTS,KLTS,Altus Air Force Base
LTT,LFTZ,La Môle – Saint-Tropez Airport
LTU,VALT,Latur Airport
LTV,YLOV,Lotus Vale Station Airport
LTW,,St. Mary's County Regional Airport (FAA: 2W6)(Captain Walter Francis Duke Regional Airport)
LTX,,Cotopaxi International Airport
LUA,VNLK,Tenzing-Hillary Airport
LUB,SYLP,Lumid Pau Airport
LUC,NFNH,Laucala Airport
LUD,FYLZ,Lüderitz Airport
LUE,LZLU,Boľkovce Airport
LUF,KLUF,Luke Air Force Base
LUG,LSZA,Lugano Airport
LUH,VILD,Sahnewal Airport (Ludhiana Airport)
LUI,,La Unión Airport
LUK,KLUK,Cincinnati Municipal Airport (Lunken Field)
LUL,KLUL,Hesler-Noble Field
LUM,ZPMS,Dehong Mangshi Airport
LUN,FLLS,Kenneth Kaunda International Airport
LUO,FNUE,Luena Airport
LUP,PHLU,Kalaupapa Airport
LUQ,SAOU,Brigadier Mayor César Raúl Ojeda Airport
LUR,PALU,Cape Lisburne LRRS Airport
LUS,FZCE,Lusanga Airport
LUT,YLRS,New Laura Airport
LUU,YLRA,Laura Airport
LUV,WAPL,Karel Sadsuitubun Airport
LUW,WAMW,Syukuran Aminuddin Amir Airport
LUX,ELLX,Luxembourg Findel Airport
LUZ,EPLB,Lublin Airport
LVA,LFOV,Laval Entrammes Airport
LVB,SSLI,Galpões Airport
LVD,,Lime Village Airport (FAA: 2AK)
LVI,FLLI,Harry Mwanga Nkumbula International Airport
LVK,KLVK,Livermore Municipal Airport
LVL,KLVL,Lawrenceville/Brunswick Municipal Airport
LVM,KLVM,Mission Field
LVO,YLTN,Laverton Airport
LVP,OIBV,Lavan Airport
LVR,SILC,Bom Futuro Municipal Airport[2]
LVS,KLVS,Las Vegas Municipal Airport
LWA,,Lebak Airport
LWB,KLWB,Greenbrier Valley Airport
LWC,KLWC,Lawrence Municipal Airport
LWE,WATW,Wonopito Airport
LWH,YLAH,Lawn Hill Airport
LWI,,Lowai Airport
LWK,EGET,Tingwall Airport (Lerwick/Tingwall Airport)
LWL,KLWL,Wells Municipal Airport (Harriet Field)
LWM,KLWM,Lawrence Municipal Airport
LWN,UDSG,Shirak Airport
LWO,UKLL,Lviv Danylo Halytskyi International Airport
LWR,EHLW,Leeuwarden Air Base
LWS,KLWS,Lewiston–Nez Perce County Airport
LWT,KLWT,Lewistown Municipal Airport
LWV,KLWV,Lawrenceville–Vincennes International Airport
LWY,WBGW,Lawas Airport
LXA,ZULS,Lhasa Gonggar Airport
LXG,VLLN,Louang Namtha Airport
LXN,KLXN,Jim Kelly Field
LXR,HELX,Luxor International Airport
LXS,LGLM,Lemnos International Airport
LXU,FLLK,Lukulu Airport
LXV,KLXV,Lake County Airport
LYA,ZHLY,Luoyang Beijiao Airport
LYB,MWCL,Edward Bodden Airfield
LYC,ESNL,Lycksele Airport
LYE,EGDL,RAF Lyneham
LYG,ZSLG,Lianyungang Baitabu Airport
LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field)
LYI,ZSLY,Linyi Shubuling Airport
LYK,,Lunyuk Airport
LYN,LFLY,Lyon–Bron Airport
LYO,KLYO,Lyons–Rice County Municipal Airport
LYP,OPFA,Faisalabad International Airport
LYR,ENSB,"Svalbard Airport, Longyear"
LYS,LFLL,Lyon–Saint-Exupéry Airport
LYT,,Lady Elliot Island Airport
LYU,KELO,Ely Municipal Airport (FAA: ELO)
LYX,EGMD,Lydd Airport (London Ashford Airport)
LZA,FZUG,Luiza Airport
LZC,MMLC,Lázaro Cárdenas Airport
LZH,ZGZH,Liuzhou Bailian Airport
LZI,FZAL,Luozi Airport
LZM,FNLZ,Cuango-Luzamba Airport
LZN,RCFG,Matsu Nangan Airport
LZO,ZULZ,Luzhou Lantian Airport
LZR,YLZI,Lizard Island Airport
LZU,KLZU,Gwinnett County Airport[2] (Briscoe Field)
LZY,ZUNZ,Nyingchi Mainling Airport
MAA,VOMM,Chennai International Airport
MAB,SBMA,João Correa da Rocha Airport
MAC,KMAC,Macon Downtown Airport
MAD,LEMD,Adolfo Suárez Madrid–Barajas Airport
MAE,KMAE,Madera Municipal Airport
MAF,KMAF,Midland International Air and Space Port
MAG,AYMD,Madang Airport
MAH,LEMH,Menorca Airport (Mahón Airport)
MAI,FWMG,Mangochi Airport
MAJ,PKMJ,Marshall Islands International Airport (Amata Kabua Int'l)
MAK,HSSM,Malakal Airport
MAL,WAPE,Mangole Airport
MAM,MMMA,General Servando Canales International Airport
MAN,EGCC,Manchester Airport
MAO,SBEG,Eduardo Gomes International Airport
MAP,,Mamai Airport
MAQ,VTPM,Mae Sot Airport
MAR,SVMC,La Chinita International Airport
MAS,AYMO,Momote Airport
MAT,FZAM,Matadi Tshimpi Airport
MAU,NTTP,Maupiti Airport
MAV,,Maloelap Airport (FAA: 3N1)
MAW,KMAW,Malden Regional Airport
MAX,GOSM,Ouro Sogui Airport
MAY,MYAB,Clarence A. Bain Airport
MAZ,TJMZ,Eugenio María de Hostos Airport
MBA,HKMO,Moi International Airport
MBB,YMBL,Marble Bar Airport
MBC,FOGG,Mbigou Airport
MBD,FAMM,Mahikeng Airport (Mmabatho Airport)
MBE,RJEB,Monbetsu Airport
MBF,YPOK,Porepunkah Airfield
MBG,KMBG,Mobridge Municipal Airport
MBH,YMYB,Maryborough Airport
MBI,HTMB,Mbeya Airport
MBJ,MKJS,Sangster International Airport
MBK,SWXM,Orlando Villas-Bôas Regional Airport
MBL,KMBL,Manistee County Blacker Airport
MBM,,Mkambati Airport[1]
MBN,,Mount Barnett Airport
MBO,RPUM,Mamburao Airport
MBP,SPBB,Moyobamba Airport
MBQ,HUMA,Mbarara Airport
MBR,GQNU,M'Bout Airport
MBS,KMBS,MBS International Airport
MBT,RPVJ,Moises R. Espinosa Airport (Masbate Airport)
MBU,AGGI,Mbambanakira Airport
MBV,,Masa Airport
MBW,YMMB,Moorabbin Airport
MBX,LJMB,Maribor Edvard Rusjan Airport
MBY,KMBY,Omar N. Bradley Airport
MBZ,SWMW,Maués Airport
MCA,GUMA,Macenta Airport
MCB,KMCB,McComb–Pike County Airport (John E. Lewis Field)
MCC,KMCC,McClellan Airfield
MCD,KMCD,Mackinac Island Airport
MCE,KMCE,Merced Regional Airport (MacReady Field)
MCF,KMCF,MacDill Air Force Base
MCG,PAMC,McGrath Airport
MCH,SEMH,General Manuel Serrano Airport
MCI,KMCI,Kansas City International Airport
MCJ,SKLM,Jorge Isaacs Airport (La Mina Airport)
MCK,KMCK,McCook Ben Nelson Regional Airport
MCL,PAIN,McKinley National Park Airport (FAA: INR)
MCN,KMCN,Middle Georgia Regional Airport
MCO,KMCO,Orlando International Airport
MCP,SBMQ,Alberto Alcolumbre International Airport
MCQ,LHMC,Miskolc Airport
MCS,SARM,Monte Caseros Airport
MCT,OOMS,Muscat International Airport
MCU,LFBK,Montluçon – Guéret Airport
MCV,YMHU,McArthur River Mine Airport
MCW,KMCW,Mason City Municipal Airport
MCX,URML,Uytash Airport
MCY,YBSU,Sunshine Coast Airport
MCZ,SBMO,Zumbi dos Palmares International Airport
MDB,,Melinda Airport
MDC,WAMM,Sam Ratulangi International Airport
MDD,KMDD,Midland Airpark
MDE,SKRG,José María Córdova International Airport
MDF,KMDZ,Taylor County Airport
MDG,ZYMD,Mudanjiang Hailang Airport
MDH,KMDH,Southern Illinois Airport
MDI,DNMK,Makurdi Airport
MDJ,,Madras Municipal Airport (FAA: S33)
MDK,FZEA,Mbandaka Airport
MDL,VYMD,Mandalay International Airport
MDM,,Munduku Airport
MDN,KIMS,Madison Municipal Airport
MDO,PAMD,Middleton Island Airport
MDP,WAKD,Mindiptana Airport
MDQ,SAZM,Astor Piazzolla International Airport
MDS,MBMC,Middle Caicos Airport
MDT,KMDT,Harrisburg International Airport
MDU,AYMN,Mendi Airport
MDV,,Médouneu Airport
MDW,KMDW,Midway International Airport
MDX,SATM,Mercedes Airport
MDY,PMDY,Henderson Field
MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo)
MEA,SBME,Benedito Lacerda Airport
MEB,YMEN,Essendon Airport
MEC,SEMT,Eloy Alfaro International Airport
MED,OEMA,Prince Mohammad bin Abdulaziz Airport
MEE,NWWR,Maré Airport
MEF,,Melfi Airport
MEG,FNMA,Malanje Airport
MEH,ENMH,Mehamn Airport
MEI,KMEI,Meridian Regional Airport (Key Field)
MEJ,KGKJ,Port Meadville Airport (FAA: GKJ)
MEK,GMFM,Bassatine Air Base[1]
MEL,YMML,Melbourne Airport
MEM,KMEM,Memphis International Airport
MEN,LFNB,Brenoux Airport
MEO,KMQI,Dare County Regional Airport (FAA: MQI)
MEP,WMAU,Mersing Airport
MEQ,WITC,Cut Nyak Dhien Airport
MER,KMER,Castle Airport
MES,WIMK,Soewondo Air Force Base
MET,YMOT,Moreton Airport
MEU,SBMD,Serra do Areão Airport
MEV,KMEV,Minden–Tahoe Airport
MEW,FZVM,Mweka Airport
MEX,MMMX,Mexico City International Airport
MEY,VNMG,Meghauli Airport
MEZ,FAMS,Messina Airport
MFA,HTMA,Mafia Airport
MFB,,Monfort Airport
MFC,FXMF,Mafeteng Airport
MFD,KMFD,Mansfield Lahm Regional Airport
MFE,KMFE,McAllen Miller International Airport
MFF,FOOD,Moanda Airport
MFG,OPMF,Muzaffarabad Airport
MFH,,Mesquite Airport (FAA: 67L)
MFI,KMFI,Marshfield Municipal Airport
MFJ,NFMO,Moala Airport
MFK,RCMT,Matsu Beigan Airport[1]
MFL,,Mount Full Stop Airport[1]
MFM,VMMC,Macau International Airport
MFN,NZMF,Milford Sound Airport
MFO,,Manguna Airport
MFP,YMCR,Manners Creek Airport[1]
MFQ,DRRM,Maradi Airport
MFR,KMFR,Rogue Valley International–Medford Airport
MFS,SKMF,Miraflores Airport
MFU,FLMF,Mfuwe Airport
MFV,KMFV,Accomack County Airport
MFW,,Magaruque Airport
MFX,LFKX,Méribel Altiport
MFY,,Mayfa'ah Airport
MFZ,,Meselia Airport
MGA,MNMG,Augusto C. Sandino International Airport
MGB,YMTG,Mount Gambier Airport
MGC,KMGC,Michigan City Municipal Airport
MGD,SLMG,Magdalena Airport
MGE,KMGE,Dobbins Air Reserve Base
MGF,SBMG,Sílvio Name Júnior Regional Airport
MGG,,Margarima Airport
MGH,FAMG,Margate Airport
MGI,,Aransas National Wildlife Refuge Airport[1] (FAA: XS10)
MGJ,KMGJ,Orange County Airport
MGK,VYMT,Mong Ton Airport
MGL,EDLN,Düsseldorf Mönchengladbach Airport
MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
MGN,SKMG,Baracoa Regional Airport
MGO,,Manega Airport[1]
MGP,,Manga Airport
MGQ,HCMM,Aden Adde International Airport
MGR,KMGR,Moultrie Municipal Airport
MGS,NCMG,Mangaia Airport
MGT,YMGB,Milingimbi Airport
MGU,VYMN,Manaung Airport[1]
MGV,YMGR,Margaret River Station Airport
MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field)
MGX,FOGI,Moabi Airport
MGY,KMGY,Dayton–Wright Brothers Airport
MGZ,VYME,Myeik Airport
MHA,SYMD,Mahdia Airport
MHC,SCPQ,Mocopulli Airport
MHD,OIMM,Mashhad International Airport (Shahid Hashemi Nejad Airport)
MHE,KMHE,Mitchell Municipal Airport
MHF,,Morichal Airport
MHG,EDFM,Mannheim City Airport
MHH,MYAM,Marsh Harbour Airport
MHI,HDMO,Moucha Airport
MHK,KMHK,Manhattan Regional Airport
MHL,KMHL,Marshall Memorial Municipal Airport
MHN,KMHN,Hooker County Airport
MHO,YMHO,Mount House Airport
MHP,UMMM,Minsk-1 Airport
MHQ,EFMA,Mariehamn Airport
MHR,KMHR,Sacramento Mather Airport
MHS,,Dunsmuir Municipal-Mott Airport[1] (FAA: 1O6)
MHT,KMHT,Manchester–Boston Regional Airport
MHU,YHOT,Mount Hotham Airport
MHV,KMHV,Mojave Air and Space Port
MHW,SLAG,Monteagudo Airport[1]
MHX,NCMH,Manihiki Island Airport
MHY,,Morehead Airport
MHZ,EGUN,RAF Mildenhall
MIA,KMIA,Miami International Airport
MIB,KMIB,Minot Air Force Base
MIC,KMIC,Crystal Airport
MID,MMMD,Manuel Crescencio Rejón International Airport
MIE,KMIE,Delaware County Regional Airport
MIF,,Roy Hurd Memorial Airport (FAA: E01)
MIG,ZUMY,Mianyang Nanjiao Airport
MIH,YMIP,Mitchell Plateau Airport
MII,SBML,Frank Miloye Milenkowichi–Marília State Airport
MIJ,MLIP,Mili Airport (FAA: 1Q9)
MIK,EFMI,Mikkeli Airport
MIL[1],,metropolitan area1
MIM,YMER,Merimbula Airport
MIN,YMPA,Minnipa Airport
MIO,KMIO,Miami Municipal Airport
MIP,LLMR,Mitzpe Ramon Airport
MIQ,KMLE,Millard Airport (FAA: MLE)
MIR,DTMB,Monastir Habib Bourguiba International Airport
MIS,AYMS,Misima Island Airport
MIT,KMIT,Shafter Airport (Minter Field)
MIU,DNMA,Maiduguri International Airport
MIV,KMIV,Millville Municipal Airport
MIW,KMIW,Marshalltown Municipal Airport
MIX,,Mirití-Paraná Airport
MIY,,Mittiebah Airport[1]
MIZ,,Mainoru Airport[1]
MJA,FMSJ,Manja Airport
MJB,,Mejit Airport (FAA: Q30)
MJC,DIMN,Man Airport
MJD,OPMJ,Moenjodaro Airport
MJE,,Majkin Airport
MJF,ENMS,"Mosjøen Airport, Kjærstad"
MJI,HLLM,Mitiga International Airport
MJJ,,Moki Airport
MJK,YSHK,Shark Bay Airport
MJL,FOGM,Mouila Airport
MJM,FZWA,Mbuji Mayi Airport
MJN,FMNM,Amborovy Airport (Philibert Tsiranana Airport)
MJO,FYME,Mount Etjo Airport[1]
MJP,YMJM,Manjimup Airport
MJQ,KMJQ,Jackson Municipal Airport
MJR,,Miramar Airport
MJS,,Maganja da Costa Airport[1]
MJT,LGMT,Mytilene International Airport
MJU,WAAJ,Tampa Padang Airport
MJV,LELC,Murcia–San Javier Airport
MJW,FVMH[2],Mahenye Airport[1]
MJX,KMJX,Robert J. Miller Air Park (Ocean County Airport)
MJZ,UERR,Mirny Airport
MKA,LKMR,Mariánské Lázně Airport
MKB,FOOE,Mékambo Airport
MKC,KMKC,Charles B. Wheeler Downtown Airport
MKE,KMKE,Milwaukee Mitchell International Airport
MKG,KMKG,Muskegon County Airport
MKH,FXMK,Mokhotlong Airport
MKI,FEGE,M'Boki Airport
MKJ,FCOM,Makoua Airport
MKK,PHMK,Molokai Airport
MKL,KMKL,McKellar–Sipes Regional Airport
MKM,WBGK,Mukah Airport
MKN,,Malekolon Airport
MKO,KMKO,Davis Field
MKP,NTGM,Makemo Airport
MKQ,WAKK,Mopah Airport
MKR,YMEK,Meekatharra Airport
MKS,HAMA,Mekane Selam Airport
MKT,KMKT,Mankato Regional Airport
MKU,FOOK,Makokou Airport
MKV,YMVG,Mount Cavenagh Airport
MKW,WASR,Rendani Airport
MKY,YBMK,Mackay Airport
MKZ,WMKM,Malacca International Airport
MLA,LMML,Malta International Airport (Luqa Airport)
MLB,KMLB,Orlando Melbourne International Airport
MLC,KMLC,McAlester Regional Airport
MLD,KMLD,Malad City Airport
MLE,VRMM,Ibrahim Nasir International Airport
MLF,KMLF,Milford Municipal Airport (Ben and Judy Briscoe Field)
MLG,WARA,Abdul Rachman Saleh Airport
MLH,LFSB,EuroAirport Basel Mulhouse Freiburg
MLI,KMLI,Quad City International Airport
MLJ,KMLJ,Baldwin County Airport
MLK,,Malta Airport[1] (FAA: M75)
MLL,PADM,Marshall Don Hunter Sr. Airport (FAA: MDM)
MLM,MMMM,General Francisco J. Mujica International Airport
MLN,GEML,Melilla Airport
MLO,LGML,Milos Island National Airport
MLP,RPMM,Malabang Airport
MLQ,,Malalaua Airport[1]
MLR,YMCT,Millicent Airport
MLS,KMLS,Miles City Airport (Frank Wiley Field)
MLT,KMLT,Millinocket Municipal Airport
MLU,KMLU,Monroe Regional Airport
MLV,YMEU,Merluna Airport
MLW,GLMR,Spriggs Payne Airport
MLX,LTAT,Malatya Erhaç Airport
MLY,PAML,Manley Hot Springs Airport
MLZ,SUMO,Cerro Largo International Airport
MMA[1],,metropolitan area2
MMB,RJCM,Memanbetsu Airport
MMC,MMDM,Ciudad Mante National Airport
MMD,ROMD,Minami-Daito Airport
MME,EGNV,Teesside International Airport
MMF,FKKF,Mamfe Airport
MMG,YMOG,Mount Magnet Airport
MMH,KMMH,Mammoth Yosemite Airport
MMI,KMMI,McMinn County Airport
MMJ,RJAF,Matsumoto Airport
MMK,ULMM,Murmansk Airport
MML,KMML,Southwest Minnesota Regional Airport (Marshall/Ryan Field)
MMM,YMMU,Middlemount Airport
MMN,,Minute Man Air Field[1] (FAA: 6B6)
MMO,GVMA,Maio Airport
MMP,SKMP,San Bernardo Airport
MMQ,FLBA,Mbala Airport
MMS,KMMS,Selfs Airport
MMT,KMMT,McEntire Joint National Guard Base
MMU,KMMU,Morristown Municipal Airport
MMV,,Mal Island Airport
MMW,,Moma Airport
MMX,ESMS,Malmö Airport
MMY,ROMY,Miyako Airport
MMZ,OAMN,Maymana Airport
MNA,WAMN,Melangguane Airport
MNB,FZAG,Muanda Airport (Moanda Airport)
MNC,FQNC,Nacala Airport
MND,,Medina Airport[1]
MNE,YMUG,Mungeranie Airport
MNF,NFMA,Mana Island Airport
MNG,YMGD,Maningrida Airport
MNH,,Al-Musannah Airport[1]
MNI,TRPG,John A. Osborne Airport
MNJ,FMSM,Mananjary Airport
MNK,NGMA,Maiana Airport
MNL,RPLL,Ninoy Aquino International Airport / Villamor Air Base
MNM,KMNM,Menominee-Marinette Twin County Airport
MNN,KMNN,Marion Municipal Airport
MNO,FZRA,Manono Airport
MNP,,Maron Island Airport[1]
MNQ,YMTO,Monto Airport
MNR,FLMG,Mongu Airport
MNS,FLMA,Mansa Airport
MNT,,Minto Al Wright Airport (FAA: 51Z)
MNU,VYMM,Mawlamyaing Airport
MNV,,Mount Valley Airport[1]
MNW,YMDS,MacDonald Downs Airport
MNX,SBMY,Manicoré Airport
MNY,AGGO,Mono Airport
MNZ,KHEF,Manassas Regional Airport (FAA: HEF)
MOA,MUMO,Orestes Acosta Airport
MOB,KMOB,Mobile Regional Airport
MOC,SBMK,Montes Claros/Mário Ribeiro Airport
MOD,KMOD,Modesto City–County Airport (Harry Sham Field)
MOE,VYMO,Momeik Airport
MOF,WATC,Frans Seda Airport (Wai Oti Airport)
MOG,VYMS,Monghsat Airport
MOH,,Maleo Airport
MOI,NCMR,Mitiaro Airport (Nukuroa Airport)
MOJ,MEMO,Moengo Airstrip
MOL,ENML,"Molde Airport, Årø"
MOM,GQNL,Letfotar Airport
MON,NZMC,Mount Cook Aerodrome
MOO,YOOM,Moomba Airport
MOP,KMOP,Mount Pleasant Municipal Airport
MOQ,FMMV,Morondava Airport[1]
MOR,KMOR,Morristown Regional Airport (Moore–Murrell Airport)
MOS,,Moses Point Airport[1]
MOT,KMOT,Minot International Airport
MOU,PAMO,Mountain Village Airport
MOV,YMRB,Moranbah Airport
MOW[1],,metropolitan area3
MOX,KMOX,Morris Municipal Airport
MOY,,Monterrey Airport
MOZ,NTTM,Moorea Airport (Temae Airport)
MPA,FYKM,Katima Mulilo Airport (Mpacha Airport)
MPB,,Miami Seaplane Base (FAA: X44)
MPC,WIPU,Muko-Muko Airport
MPD,OPMP,Sindhri Airport
MPF,,Mapoda Airport
MPG,,Makini Airport
MPH,RPVE,Godofredo P. Ramos Airport (Caticlan Airport)
MPI,,Mamitupo Airport
MPJ,KMPJ,Petit Jean Park Airport
MPL,LFMT,Montpellier–Méditerranée Airport (Fréjorgues Airport)
MPM,FQMA,Maputo International Airport
MPN,EGYP,RAF Mount Pleasant
MPO,KMPO,Pocono Mountains Municipal Airport
MPP,,Mulatupo Airport
MPQ,OJMN,Ma'an Airport
MPR,KMPR,McPherson Airport
MPS,KOSA,Mount Pleasant Regional Airport[1] (FAA: OSA)
MPT,WPMN,Maliana Airport
MPU,,Mabua Airstrip
MPV,KMPV,Edward F. Knapp State Airport
MPW,UKCM,Mariupol International Airport
MPX,,Miyanmin Airport
MPY,SOOA,Maripasoula Airport
MPZ,KMPZ,Mount Pleasant Municipal Airport
MQA,YMDI,Mandora Station Airport
MQB,KMQB,Macomb Municipal Airport
MQC,LFVM,Miquelon Airport
MQD,SAVQ,Maquinchao Airport
MQE,YMQA,Marqua Airport[1]
MQF,USCM,Magnitogorsk International Airport
MQG,FYMG,Midgard Airport[1]
MQH,SBMC,Minaçu Airport
MQJ,UEMA,Moma Airport[1]
MQK,SLTI,San Matías Airport[1]
